loss_mse 0.000044    loss_niqe 8546.752866   loss_pi: 8504.098848 
loss_mse 0.000044    loss_niqe 8547.618019   loss_pi: 8504.203604 
loss_mse 0.000045    loss_niqe 8544.673771   loss_pi: 8508.095036 
loss_mse 0.000044    loss_niqe 8547.579223   loss_pi: 8505.697831 
loss_mse 0.000044    loss_niqe 8544.271984   loss_pi: 8503.076039 
loss_mse 0.000045    loss_niqe 8537.868422   loss_pi: 8503.200900 
loss_mse 0.000044    loss_niqe 8537.952963   loss_pi: 8501.997747 
loss_mse 0.000045    loss_niqe 8544.188266   loss_pi: 8512.575975 
loss_mse 0.000044    loss_niqe 8541.234475   loss_pi: 8509.671612 
loss_mse 0.000044    loss_niqe 8533.271130   loss_pi: 8502.368708 
loss_mse 0.000044    loss_niqe 8536.574285   loss_pi: 8504.509565 
loss_mse 0.000044    loss_niqe 8543.088525   loss_pi: 8511.063345 
loss_mse 0.000045    loss_niqe 8537.709350   loss_pi: 8506.101064 
loss_mse 0.000045    loss_niqe 8542.205293   loss_pi: 8507.799265 
loss_mse 0.000044    loss_niqe 8536.861279   loss_pi: 8503.407223 
loss_mse 0.000044    loss_niqe 8540.412614   loss_pi: 8501.895989 
loss_mse 0.000045    loss_niqe 8558.295452   loss_pi: 8511.429319 
loss_mse 0.000045    loss_niqe 8549.861825   loss_pi: 8507.590770 
loss_mse 0.000044    loss_niqe 8536.995523   loss_pi: 8502.782777 
loss_mse 0.000045    loss_niqe 8545.168380   loss_pi: 8509.099925 
loss_mse 0.000045    loss_niqe 8545.953014   loss_pi: 8505.351401 
loss_mse 0.000045    loss_niqe 8566.590587   loss_pi: 8513.482104 
loss_mse 0.000045    loss_niqe 8555.414380   loss_pi: 8512.286553 
loss_mse 0.000044    loss_niqe 8557.351366   loss_pi: 8513.178906 
loss_mse 0.000044    loss_niqe 8566.883394   loss_pi: 8518.876831 
loss_mse 0.000045    loss_niqe 8569.583204   loss_pi: 8514.615133 
loss_mse 0.000045    loss_niqe 8563.563708   loss_pi: 8512.116490 
loss_mse 0.000045    loss_niqe 8567.497210   loss_pi: 8514.253647 
loss_mse 0.000045    loss_niqe 8587.956868   loss_pi: 8518.529979 
loss_mse 0.000045    loss_niqe 8575.000148   loss_pi: 8510.904126 
loss_mse 0.000045    loss_niqe 8554.050738   loss_pi: 8503.895626 
loss_mse 0.000045    loss_niqe 8555.121434   loss_pi: 8510.742073 
loss_mse 0.000045    loss_niqe 8572.831031   loss_pi: 8510.269000 
loss_mse 0.000045    loss_niqe 8565.022169   loss_pi: 8510.598353 
loss_mse 0.000045    loss_niqe 8571.553904   loss_pi: 8513.319901 
loss_mse 0.000045    loss_niqe 8567.946224   loss_pi: 8511.296483 
loss_mse 0.000045    loss_niqe 8600.021063   loss_pi: 8517.828499 
loss_mse 0.000045    loss_niqe 8576.193642   loss_pi: 8508.555600 
loss_mse 0.000045    loss_niqe 8582.086209   loss_pi: 8514.011641 
loss_mse 0.000045    loss_niqe 8581.670992   loss_pi: 8513.734789 
loss_mse 0.000045    loss_niqe 8589.816210   loss_pi: 8514.422279 
loss_mse 0.000045    loss_niqe 8587.110375   loss_pi: 8519.148179 
loss_mse 0.000045    loss_niqe 8612.443603   loss_pi: 8523.097148 
loss_mse 0.000044    loss_niqe 8572.397558   loss_pi: 8517.567631 
loss_mse 0.000044    loss_niqe 8608.855823   loss_pi: 8523.621771 
loss_mse 0.000045    loss_niqe 8571.244104   loss_pi: 8506.941231 
loss_mse 0.000045    loss_niqe 8597.463640   loss_pi: 8517.928954 
loss_mse 0.000045    loss_niqe 8586.649212   loss_pi: 8517.402395 
loss_mse 0.000045    loss_niqe 8595.657629   loss_pi: 8522.710197 
loss_mse 0.000045    loss_niqe 8591.883130   loss_pi: 8514.581364 
loss_mse 0.000044    loss_niqe 8582.626219   loss_pi: 8514.688676 
loss_mse 0.000045    loss_niqe 8580.040723   loss_pi: 8514.155769 
loss_mse 0.000044    loss_niqe 8587.235427   loss_pi: 8519.302651 
loss_mse 0.000045    loss_niqe 8599.071603   loss_pi: 8525.098135 
loss_mse 0.000045    loss_niqe 8588.437004   loss_pi: 8516.533269 
loss_mse 0.000045    loss_niqe 8570.376552   loss_pi: 8514.146758 
loss_mse 0.000044    loss_niqe 8579.952201   loss_pi: 8515.419330 
loss_mse 0.000044    loss_niqe 8588.211785   loss_pi: 8513.192854 
loss_mse 0.000044    loss_niqe 8586.379647   loss_pi: 8519.462966 
loss_mse 0.000044    loss_niqe 8564.874964   loss_pi: 8514.111493 
loss_mse 0.000045    loss_niqe 8554.735155   loss_pi: 8512.963548 
