step 1390.000000    loss_mse 0.000048    loss_niqe 8979.265055   loss_pi: 8732.510138 
step 1400.000000    loss_mse 0.000049    loss_niqe 8940.582232   loss_pi: 8714.219009 
step 1410.000000    loss_mse 0.000048    loss_niqe 8964.921310   loss_pi: 8726.970313 
step 1420.000000    loss_mse 0.000047    loss_niqe 8967.010368   loss_pi: 8724.644009 
step 1430.000000    loss_mse 0.000048    loss_niqe 8941.586560   loss_pi: 8728.722409 
step 1440.000000    loss_mse 0.000048    loss_niqe 8903.072873   loss_pi: 8709.820907 
step 1450.000000    loss_mse 0.000048    loss_niqe 8935.979413   loss_pi: 8704.308853 
step 1460.000000    loss_mse 0.000049    loss_niqe 8928.078839   loss_pi: 8709.766066 
step 1470.000000    loss_mse 0.000049    loss_niqe 8957.657955   loss_pi: 8720.484983 
step 1480.000000    loss_mse 0.000048    loss_niqe 8959.797321   loss_pi: 8718.411782 
step 1490.000000    loss_mse 0.000049    loss_niqe 8928.601106   loss_pi: 8701.659000 
step 1500.000000    loss_mse 0.000050    loss_niqe 8964.363277   loss_pi: 8722.757712 
step 1510.000000    loss_mse 0.000049    loss_niqe 8952.851795   loss_pi: 8719.209143 
step 1520.000000    loss_mse 0.000050    loss_niqe 8965.170289   loss_pi: 8725.928260 
step 1530.000000    loss_mse 0.000049    loss_niqe 8933.915207   loss_pi: 8719.399591 
step 1540.000000    loss_mse 0.000049    loss_niqe 8961.054734   loss_pi: 8723.782496 
step 1550.000000    loss_mse 0.000050    loss_niqe 8966.277285   loss_pi: 8725.590947 
step 1560.000000    loss_mse 0.000050    loss_niqe 8975.931389   loss_pi: 8728.805269 
step 1570.000000    loss_mse 0.000050    loss_niqe 8979.199678   loss_pi: 8727.125695 
step 1580.000000    loss_mse 0.000051    loss_niqe 8981.667977   loss_pi: 8725.580882 
step 1590.000000    loss_mse 0.000050    loss_niqe 8975.836734   loss_pi: 8732.785143 
step 1600.000000    loss_mse 0.000050    loss_niqe 8952.657268   loss_pi: 8716.588660 
step 1610.000000    loss_mse 0.000051    loss_niqe 8962.763894   loss_pi: 8725.821523 
step 1620.000000    loss_mse 0.000051    loss_niqe 8956.141654   loss_pi: 8723.676863 
step 1630.000000    loss_mse 0.000051    loss_niqe 8951.865182   loss_pi: 8718.459373 
step 1640.000000    loss_mse 0.000051    loss_niqe 8975.672678   loss_pi: 8731.066775 
step 1650.000000    loss_mse 0.000051    loss_niqe 8973.471266   loss_pi: 8728.169343 
step 1660.000000    loss_mse 0.000052    loss_niqe 8974.788078   loss_pi: 8733.684243 
step 1670.000000    loss_mse 0.000052    loss_niqe 8982.134629   loss_pi: 8727.742484 
step 1680.000000    loss_mse 0.000052    loss_niqe 9007.437957   loss_pi: 8743.073729 
step 1690.000000    loss_mse 0.000052    loss_niqe 8989.515651   loss_pi: 8742.143696 
step 1700.000000    loss_mse 0.000052    loss_niqe 8967.423822   loss_pi: 8730.728657 
step 1710.000000    loss_mse 0.000052    loss_niqe 8973.642409   loss_pi: 8714.922084 
step 1720.000000    loss_mse 0.000052    loss_niqe 8966.716640   loss_pi: 8722.936056 
step 1730.000000    loss_mse 0.000053    loss_niqe 8965.628055   loss_pi: 8729.798098 
step 1740.000000    loss_mse 0.000052    loss_niqe 8958.771296   loss_pi: 8716.152040 
step 1750.000000    loss_mse 0.000053    loss_niqe 8998.838728   loss_pi: 8748.495709 
step 1760.000000    loss_mse 0.000053    loss_niqe 8974.885580   loss_pi: 8728.606103 
step 1770.000000    loss_mse 0.000053    loss_niqe 8949.789276   loss_pi: 8717.861861 
step 1780.000000    loss_mse 0.000053    loss_niqe 8976.355938   loss_pi: 8729.845833 
step 1790.000000    loss_mse 0.000053    loss_niqe 8998.376865   loss_pi: 8736.360136 
step 1800.000000    loss_mse 0.000054    loss_niqe 8967.451688   loss_pi: 8730.356566 
step 1810.000000    loss_mse 0.000053    loss_niqe 8990.216863   loss_pi: 8733.269672 
step 1820.000000    loss_mse 0.000054    loss_niqe 8970.019475   loss_pi: 8722.441255 
step 1830.000000    loss_mse 0.000053    loss_niqe 8993.356751   loss_pi: 8737.677537 
